url,asin,priority_score,source,rank,category,title
https://www.amazon.ae/Huggies-DryNites-Pyjama-Wetting-Diaper/dp/B0041LS9TS,B0041LS9TS,115.0,bestsellers,8,Fashion,AED 35.00
https://www.amazon.ae/Multi-Home-Furniture-Camping-Foldable/dp/B0D3XZ5JLT,B0D3XZ5JLT,115.0,bestsellers,8,Sporting Goods,AED 84.50
https://www.amazon.ae/SKY-TOUCH-Colored-pen-Colouring-Sketching/dp/B0DKXVCDX2,B0DKXVCDX2,115.0,bestsellers,8,Office Products,AED 29.99
https://www.amazon.ae/Rhinestone-Jewelry-Adhesive-Viscosity-Clothes/dp/B09SL5LT8W,B09SL5LT8W,115.0,bestsellers,8,Office Products,AED 29.99
https://www.amazon.ae/Dr-Teals-Epsom-Salt-Body/dp/B07XQCTKKJ,B07XQCTKKJ,115.0,bestsellers,8,Beauty,AED 26.30
https://www.amazon.ae/Minimalist-Salicylic-Prone-Sulphate-Cleanser/dp/B096PJMGPL,B096PJMGPL,115.0,bestsellers,8,Beauty,
https://www.amazon.ae/Razer-BlackShark-V2-Gaming-Headset/dp/B089SSFV85,B089SSFV85,115.0,bestsellers,8,Videogames,AED 145.00
https://www.amazon.ae/JETech-Protector-Nintendo-Tempered-Anti-Scratch/dp/B0F43B9RVV,B0F43B9RVV,115.0,bestsellers,8,Videogames,AED 30.58
https://www.amazon.ae/Natures-Choice-White-Vinegar-Gallon/dp/B07Z3STGKT,B07Z3STGKT,115.0,bestsellers,8,Grocery,AED 7.20
https://www.amazon.ae/Borges-Original-Extra-Virgin-1Litre/dp/B007P39X30,B007P39X30,115.0,bestsellers,8,Grocery,AED 66.00
https://www.amazon.ae/HJB-VISSO-Vibration-Vibrating-Lymphatic/dp/B0DZNWBZSY,B0DZNWBZSY,115.0,movers_shakers,6,Main,AED 256.95
https://www.amazon.ae/First-Writing-Workbook-Ages-3-5/dp/0008387877,0008387877,115.0,movers_shakers,6,Books,Paperback
https://www.amazon.ae/Fino-EMBEAUTY-Premium-Touch-treatment/dp/B0CMGHGXZ1,B0CMGHGXZ1,115.0,movers_shakers,6,Beauty,AED 31.44
https://www.amazon.ae/Rainbow-Original-Vitamin-Evaporated-Liquid/dp/B07MVPXKNB,B07MVPXKNB,115.0,movers_shakers,6,Grocery,AED 239.75
https://www.amazon.ae/Reusable-Insulated-Leakproof-Capacity-Camping%EF%BC%88Grey%EF%BC%89/dp/B0F2MY859G,B0F2MY859G,115.0,movers_shakers,6,Kitchen,AED 1.16
https://www.amazon.ae/Aucase-Compatible-Chromebook-Ultrabook-Protective/dp/B0CGTYBGY9,B0CGTYBGY9,115.0,movers_shakers,6,Computers,AED 44.99
https://www.amazon.ae/Jippofu-Charger-Compatible-ThinkPad-2016-2025/dp/B0FKMPNGQV,B0FKMPNGQV,115.0,movers_shakers,6,Computers,AED 51.29-AED 71.10
https://www.amazon.ae/Scotch-Brite-Multicolor-Cleaning-Versatile-Bristles/dp/B004W7WMTE,B004W7WMTE,115.0,movers_shakers,6,Home,AED 20.50-AED 55.88
https://www.amazon.ae/WWI-Standing-Adjustable-Electric-Lifting/dp/B0F23XH8BY,B0F23XH8BY,115.0,movers_shakers,6,Home,AED 359.00-AED 476.10
